Gene_ID	GO_Term
MAGI3	GO:0005923
MAGI3	GO:0016020
BAZ2B	GO:0003677
BAZ2B	GO:0005634
QTRT1	GO:0008479
QTRT1	GO:0008479
QTRT1	GO:0008479
QTRT1	GO:0016740
QTRT1	GO:0016757
QTRT1	GO:0016763
QTRT1	GO:0046872
QTRT1	GO:0006400
QTRT1	GO:0008033
QTRT1	GO:0101030
QTRT1	GO:0101030
QTRT1	GO:0101030
QTRT1	GO:0005737
QTRT1	GO:0005737
QTRT1	GO:0005737
QTRT1	GO:0005739
QTRT1	GO:0005741
QTRT1	GO:0005741
QTRT1	GO:0005741
QTRT1	GO:0016020
MTHFD1	GO:0000166
MTHFD1	GO:0003824
MTHFD1	GO:0004329
MTHFD1	GO:0004329
MTHFD1	GO:0004477
MTHFD1	GO:0004486
MTHFD1	GO:0004488
MTHFD1	GO:0004488
MTHFD1	GO:0005524
MTHFD1	GO:0005524
MTHFD1	GO:0016491
MTHFD1	GO:0016787
MTHFD1	GO:0016874
MTHFD1	GO:0006730
MTHFD1	GO:0035999
A0A674G729	GO:0007155
A0A674G729	GO:0007229
A0A674G729	GO:0070161
CILP	GO:0005576
GAS2L1	GO:0008017
GAS2L1	GO:0008093
GAS2L1	GO:0005737
GAS2L1	GO:0005856
GAS2L1	GO:0005856
ACOD1	GO:0016829
ATG9A	GO:0006869
ATG9A	GO:0006914
ATG9A	GO:0006914
ATG9A	GO:0016020
ATG9A	GO:0016020
ATG9A	GO:0034045
ATG9A	GO:0034045
DTX2	GO:0016740
DTX2	GO:0046872
DTX2	GO:0046872
DTX2	GO:0061630
DTX2	GO:0007219
DTX2	GO:0016567
DTX2	GO:0016567
DTX2	GO:0016567
DTX2	GO:0005737
DTX2	GO:0005737
DTX2	GO:0005737
ANK2	GO:0007165
ANK2	GO:0051179
ANK2	GO:0005856
ANK2	GO:0005856
ANK2	GO:0016020
ANK2	GO:0016020
LOC115491749	GO:0003723
LOC115491749	GO:0000244
LOC115491749	GO:0000398
LOC115491749	GO:0006397
LOC115491749	GO:0008380
LOC115491749	GO:0008380
LOC115491749	GO:0015030
LOC115491749	GO:0016020
LOC115491749	GO:0005681
LOC115491749	GO:0046540
RAP1GAP2	GO:0005096
RAP1GAP2	GO:0005096
RAP1GAP2	GO:0050790
RAP1GAP2	GO:0051056
A0A674G745	GO:0003677
A0A674G745	GO:0003677
A0A674G745	GO:0003677
A0A674G745	GO:0003677
A0A674G745	GO:0006351
A0A674G745	GO:0006355
A0A674G745	GO:0006355
A0A674G745	GO:0009653
A0A674G745	GO:0005634
A0A674G745	GO:0005634
A0A674G745	GO:0005634
LOC115490714	GO:0005200
LOC115490714	GO:0007010
LOC115490714	GO:0005882
LOC115490714	GO:0005882
OMP	GO:0007165
OMP	GO:0007608
CTDP1	GO:0004721
CTDP1	GO:0004722
CTDP1	GO:0008420
CTDP1	GO:0008420
CTDP1	GO:0016787
CTDP1	GO:0017018
CTDP1	GO:0070940
CTDP1	GO:0070940
CTDP1	GO:0005634
CTDP1	GO:0005634
CTDP1	GO:0005634
CTDP1	GO:0005634
ASAP2	GO:0005096
ASAP2	GO:0005096
ASAP2	GO:0046872
ASAP2	GO:0043547
ASAP2	GO:0005737
SERPINE2	GO:0004867
SERPINE2	GO:0010951
SERPINE2	GO:0005615
LOC115491774	GO:0016274
LOC115491774	GO:0016740
LOC115491774	GO:0018216
ATRN	GO:0016020
ATRN	GO:0110165
LOC100190450	GO:0016020
ECSCR	GO:0016020
GSDME	GO:0008219
GSDME	GO:0012501
GSDME	GO:0005886
GSDME	GO:0016020
GABRA1	GO:0004888
GABRA1	GO:0004890
GABRA1	GO:0005216
GABRA1	GO:0005230
GABRA1	GO:0005254
GABRA1	GO:0006811
GABRA1	GO:0006811
GABRA1	GO:0006821
GABRA1	GO:0006821
GABRA1	GO:0007214
GABRA1	GO:0034220
GABRA1	GO:1902476
GABRA1	GO:0005886
GABRA1	GO:0005886
GABRA1	GO:0016020
GABRA1	GO:0016020
GABRA1	GO:0016020
GABRA1	GO:0045202
GABRA1	GO:0045211
GABRA1	GO:0045211
GABRA1	GO:0097060
GABRA1	GO:0034707
LOC115492045	GO:0003676
LOC115492045	GO:0003723
LOC115492045	GO:0003723
LOC115492045	GO:0003723
UBQLN1	GO:0006914
UBQLN1	GO:0005634
UBQLN1	GO:0005776
UBQLN1	GO:0016020
UBQLN1	GO:0031410
A0A674G770	GO:0005516
A0A674G770	GO:0008017
A0A674G770	GO:0030507
A0A674G770	GO:0031175
AOAH	GO:0016788
AOAH	GO:0050528
GSG1L2	GO:0016020
GSG1L2	GO:0016020
NIPAL2	GO:0015095
NIPAL2	GO:0015693
NIPAL2	GO:0015693
NIPAL2	GO:1903830
NIPAL2	GO:0016020
NIPAL2	GO:0016020
DGKB	GO:0000166
DGKB	GO:0004143
DGKB	GO:0004143
DGKB	GO:0005509
DGKB	GO:0005524
DGKB	GO:0016301
DGKB	GO:0016301
DGKB	GO:0016740
DGKB	GO:0046872
DGKB	GO:0006629
DGKB	GO:0007165
DGKB	GO:0007205
DGKB	GO:0016310
DGKB	GO:0046486
A0A674G777	GO:0016020
GABRR3	GO:0004888
GABRR3	GO:0005216
GABRR3	GO:0005230
GABRR3	GO:0005254
GABRR3	GO:0006811
GABRR3	GO:0006811
GABRR3	GO:0006821
GABRR3	GO:0034220
GABRR3	GO:1902476
GABRR3	GO:0005886
GABRR3	GO:0005886
GABRR3	GO:0016020
GABRR3	GO:0016020
GABRR3	GO:0045202
GABRR3	GO:0045211
GABRR3	GO:0045211
GABRR3	GO:0097060
GABRR3	GO:0034707
LOC100217480	GO:0008083
LOC100217480	GO:0008083
LOC100217480	GO:0007165
LOC100217480	GO:0005576
A0A674G781	GO:0005085
A0A674G781	GO:0019208
A0A674G781	GO:0043087
CXCL12	GO:0005125
CXCL12	GO:0008009
CXCL12	GO:0008083
CXCL12	GO:0006935
CXCL12	GO:0006952
CXCL12	GO:0006955
CXCL12	GO:0060326
CXCL12	GO:0070098
CXCL12	GO:0005576
CXCL12	GO:0005576
CXCL12	GO:0005615
CADM1	GO:0016020
PBX3	GO:0000981
PBX3	GO:0003677
PBX3	GO:0003677
PBX3	GO:0003677
PBX3	GO:0003677
PBX3	GO:0003700
PBX3	GO:0006355
PBX3	GO:0006357
PBX3	GO:0005634
PBX3	GO:0005634
PBX3	GO:0005634
PBX3	GO:0005634
CAPZA2	GO:0003779
CAPZA2	GO:0051016
CAPZA2	GO:0051016
CAPZA2	GO:0051693
CAPZA2	GO:0008290
CAPZA2	GO:0008290
A0A674G788	GO:0000166
A0A674G788	GO:0000166
A0A674G788	GO:0005524
A0A674G788	GO:0005524
A0A674G788	GO:0008556
A0A674G788	GO:0016887
A0A674G788	GO:0046872
A0A674G788	GO:0006811
A0A674G788	GO:0006813
A0A674G788	GO:0006813
A0A674G788	GO:0071805
A0A674G788	GO:0005886
A0A674G788	GO:0016020
FMNL1	GO:0007010
FMNL1	GO:0008360
FMNL1	GO:0022604
PDK4	GO:0000166
PDK4	GO:0004672
PDK4	GO:0005524
PDK4	GO:0005524
PDK4	GO:0016301
PDK4	GO:0016740
PDK4	GO:0016310
PDK4	GO:0005739
PDK4	GO:0005759
A0A674G792	GO:0007155
A0A674G792	GO:0007155
A0A674G792	GO:0007229
A0A674G792	GO:0016020
A0A674G792	GO:0016020
A0A674G792	GO:0008305
S100A11	GO:0005509
S100A11	GO:0046872
S100A11	GO:0048306
S100A11	GO:0042127
OSGIN1	GO:0030308
OSGIN1	GO:0043065
LOC115492046	GO:0003676
LOC115492046	GO:0003723
LOC115492046	GO:0003723
LOC115492046	GO:0003723
PRKACB	GO:0000166
PRKACB	GO:0000166
PRKACB	GO:0004672
PRKACB	GO:0004674
PRKACB	GO:0004674
PRKACB	GO:0004679
PRKACB	GO:0004691
PRKACB	GO:0004691
PRKACB	GO:0005524
PRKACB	GO:0005524
PRKACB	GO:0005524
PRKACB	GO:0016301
PRKACB	GO:0016740
PRKACB	GO:0006468
PRKACB	GO:0016310
ZNF618	GO:0046983
CHCHD3	GO:0005739
CHCHD3	GO:0016020
CHCHD3	GO:0061617
ELMOD1	GO:0005096
ELMOD1	GO:0043547
ATRN	GO:0016020
ATRN	GO:0110165
A0A674G7A3	GO:0004672
A0A674G7A3	GO:0005524
A0A674G7A3	GO:0006468
PHF21A	GO:0046872
ERCC2	GO:0003676
ERCC2	GO:0003677
ERCC2	GO:0003678
ERCC2	GO:0004386
ERCC2	GO:0005524
ERCC2	GO:0016818
ERCC2	GO:0006139
ERCC2	GO:0006289
ERCC2	GO:0032508
ERCC2	GO:0005634
ERCC2	GO:0016020
GPR37	GO:0004930
GPR37	GO:0004930
GPR37	GO:0007165
GPR37	GO:0007186
GPR37	GO:0007186
GPR37	GO:0005886
GPR37	GO:0005886
GPR37	GO:0016020
GPR37	GO:0016020
RPL38	GO:0003735
RPL38	GO:0006412
RPL38	GO:0005840
RPL38	GO:0005840
RPL38	GO:1990904
MMP9	GO:0004222
MMP9	GO:0004222
MMP9	GO:0008233
MMP9	GO:0008233
MMP9	GO:0008237
MMP9	GO:0008237
MMP9	GO:0008270
MMP9	GO:0016787
MMP9	GO:0046872
MMP9	GO:0001503
MMP9	GO:0006508
MMP9	GO:0006508
MMP9	GO:0030574
MMP9	GO:0030574
MMP9	GO:0050896
MMP9	GO:0050900
MMP9	GO:0005576
MMP9	GO:0031012
MMP11	GO:0004222
MMP11	GO:0008233
MMP11	GO:0008237
MMP11	GO:0008237
MMP11	GO:0008270
MMP11	GO:0016787
MMP11	GO:0046872
MMP11	GO:0006508
MMP11	GO:0006508
MMP11	GO:0031012
ATPSCKMT	GO:0008168
ATPSCKMT	GO:0016279
ATPSCKMT	GO:0016279
ATPSCKMT	GO:0016740
ATPSCKMT	GO:0006479
ATPSCKMT	GO:0032259
ATPSCKMT	GO:0016020
ATPSCKMT	GO:0031966
EREG	GO:0005154
EREG	GO:0008083
EREG	GO:0007165
EREG	GO:0016020
SLC35B3	GO:0055085
SLC35B3	GO:0016020
SLC35B3	GO:0016020
A0A674G7B8	GO:0006807
A0A674G7C0	GO:0016757
A0A674G7C0	GO:0016758
A0A674G7C0	GO:0006486
A0A674G7C0	GO:0000139
A0A674G7C0	GO:0005794
A0A674G7C0	GO:0016020
A0A674G7C0	GO:0016020
A0A674G7C0	GO:0016020
MAD1L1	GO:0007049
MAD1L1	GO:0007094
MAD1L1	GO:0051301
MAD1L1	GO:0005634
MAD1L1	GO:0043229
PCYT1A	GO:0003824
